numeric_id,name
8000861,Bellheim Am Mühlbuckel
8000862,Bellenberg
8000863,Bellheim Bf
8000864,Bad Bellingen
8000865,Bempflingen
8000869,Benediktbeuern
8000870,Bengel
8000871,Bennemühlen
8000872,Bennigsen
8000873,Benningen(Neckar)
8000875,Ottweiler(Saar)
8000876,Pirmasens Nord
8000877,Bensheim-Auerbach
8000879,Bad Bentheim
8000880,Radolfzell
8000882,Beratzhausen
8000885,Berchtesgaden Hbf
8000887,Recklinghausen Süd
8000888,Bergen(Oberbay)
8000889,Bergenweiler
8000890,Berg(Pfalz)
8000891,Schlüchtern
8000892,Berghausen(b Wittgenstein)
8000893,Berghausen(Baden)
8000894,Berghausen(Pfalz)
8000899,Bergisch Gladbach
8000902,Bergtheim
8000903,Beringen Bad Bf
8000904,Beringhausen
8000907,Bad Berleburg
8000908,Hamburg Berliner Tor
8000909,Bermatingen-Ahausen
8000911,Bernau a Chiemsee
8000913,Berne
8000918,Bernried
8000919,Bersenbrück
8000921,Berzhahn
8000923,Besch
8000925,Besigheim
8000926,Besseringen
8000927,Bestwig
8000928,Bettmannsäge
8000932,Beuggen
8000933,Beuron
8000934,Beutelsbach
8000935,Bad Bevensen
8000941,Bexbach
8000942,Biberach(Baden)
8000943,Biberach(Riß)
8000944,Biberach(Riß) Süd
8000945,Bichl
8000946,Bibelöd
8000948,Bickenbach(Bergstr)
8000951,Biebesheim
8000952,Biedenkopf
8000953,Bielefeld Ost
8000954,Biedenkopf-Schulzentrum
8000955,Bienenbüttel
8000957,Bieren-Rödinghausen
8000959,Bieringen(b Horb)
8000961,Dortmund-Hörde
8000962,Biessenhofen
8000963,Bietigheim(Baden)
8000965,Bietingen
8000966,Bigge
8000967,Bildstock
8000968,Bilfingen
8000969,Billenhausen
8000970,Billerbeck
8000971,Hamburg Billwerder-Moorfleet
8000973,Binau
8000974,Bindlach
8000975,Bingen-Gaulsheim
8000976,Bingen(Rhein) Stadt
8000977,Hagen-Vorhalle
8000978,Binolen
8000983,Birkelbach
8000984,Birkenau
8000985,Birkenbringhausen
8000986,Birkenfeld(Enz)
8000988,Bad Birnbach
8000989,Birresborn
8000996,Maintal West
8000997,Bischofswiesen
8000998,Bischweier
8000999,Bisingen
8001000,Bissendorf
8001002,Bittelbronn
8001003,Blaibach(Oberpf)
8001004,Blaichach(Allgäu)
8001005,Bitzfeld
8001006,Blankenberg(Sieg)
8001007,Hamburg-Blankenese
8001008,Blankenheim(Wald)
8001009,Blankenloch
8001013,Blaubeuren
8001014,Blaufelden
8001015,Blaustein
8001017,Bleibach
8001018,Bleichenbach(Oberh)
8001027,Blieskastel-Lautzkirchen
8001028,Blindheim
8001029,Blumberg-Riedöschingen
8001030,Blumenkamp
8001032,Bobenheim
8001033,Bobingen
8001034,Bobstadt
8001035,Bochum-Riemke
8001038,Bochum-Dahlhausen
8001039,Bochum-Ehrenfeld
8001043,Bockenheim-Kindenheim
8001045,Bockum-Hövel
8001046,Bodelsberg
8001047,Bodelshausen
8001048,Bodenburg
8001049,Bad Bodendorf
8001050,Bodenfelde
8001051,Bodenmais
8001052,Bad Bodenteich
8001054,Bodenwöhr Nord
8001055,Böblingen
8001056,Bödigheim
8001057,Böhl-Iggelheim
8001058,Böhmhof
8001059,Böhringen-Rickelshausen
8001061,Bönen
8001063,Börßum
8001065,Bösensell
8001066,Bösperde
8001069,Bogen
8001071,Bohmte
8001072,Boisheim
8001080,Bondorf(b Herrenberg)
8001082,Bonn-Bad Godesberg
8001083,Bonn-Beuel
8001084,Bonn-Duisdorf
8001085,Bonn-Mehlem
8001086,Bonn-Oberkassel
8001089,Bookholzberg
8001090,Bopfingen
8001092,Bordesholm
8001093,Borgeln
8001095,Borgholzhausen
8001096,Steinfurt-Borghorst
8001097,Bork(Westf)
8001098,Borken(Hess)
8001104,Borsdorf(Hess)
8001106,Wildeck-Bosserode
8001107,Bottrop-Boy
8001108,Bottrop-Vonderort
8001110,Bous(Saar)
8001111,Boxberg-Wölchingen
8001112,Brachbach
8001113,Brachelen
8001116,Brackwede Süd
8001118,Brake(b Bielefeld)
8001119,Bräunlingen Bahnhof
8001120,Brake(Unterweser)
8001121,Brakel(Höxter)
8001122,Bramsche
8001123,Bramstedt(b Syke)
8001126,Brandoberndorf
8001128,Brandstätt
8001129,Brannenburg
8001130,Braubach
8001131,Bretten-Ruit
8001132,Leun/Braunfels
8001134,Braunschweig-Gliesmarode
8001137,Bredelar
8001138,Bretten Rechberg
8001139,Bredstedt
8001143,Breisach
8001144,Bretten Schulzentrum
8001147,Breitenbrunn(Schwab)
8001148,Breitendiel
8001149,Breitengüßbach
8001152,Bretten Stadtmitte
8001153,"Breitscheidt(Altenkirchen, Ww)"
8001155,Bremen Neustadt
8001156,Bremen-Burg
8001157,Bremen-Hemelingen
8001159,Bremen-Lesum
8001160,Bremen-Mahndorf
8001161,Bremen-Oberneuland
8001162,Bremen-Oslebshausen
8001163,Bremen-Schönebeck
8001164,Bremen-Sebaldsbrück
8001165,Bremen-St Magnus
8001166,Bremen-Vegesack
8001167,Bremen-Walle
8001168,Bremerhaven-Lehe
8001170,Bremerhaven-Wulsdorf
8001174,Wehr-Brennet
8001176,Brettorf
8001177,Bretzenheim(Nahe)
8001178,Bretzfeld
8001179,Krumbach(Schw)Schule
8001180,Breyell
8001183,Ostbevern
8001185,Brockhöfe
8001186,Brohl
8001188,Lengede-Broistedt
8001190,Brokstedt
8001191,Lörrach-Brombach/Hauingen
8001193,Kloster Bronnbach
8001196,Bruchenbrücken
8001197,Bruchsal Bildungszentrum
8001198,Bruchhausen(b Ettlingen)
8001199,Bruchköbel
8001200,Bruchmühlbach-Miesau
8001201,Bruchmühlen
8001203,Bruckberg
8001205,Brucken
8001207,Bruckmühl
8001209,Ahrbrück
8001213,Brügge(Westf)
8001215,Brühl
8001221,Bubach
8001223,Bubenreuth
8001225,Buchbrunn-Mainstockheim
8001226,Buchen Ost
8001227,Buchen(Odenw)
8001228,Buchenau(Lahn)
8001229,Buchenau(Oberbay)
8001231,Buchenhain
8001234,Buchholz(Baden)
8001235,Boppard-Buchholz
8001236,Dreieich-Buchschlag
8001237,Budenheim
8001242,Büchenbach
8001244,Büches-Düdelsheim
8001245,Bückeburg
8001248,Schöneck-Büdesheim
8001249,Büdingen(Westerw)
8001250,Büdingen(Oberhess)
8001252,Bühl(Baden)
8001256,Bürgeln
8001258,Büsenbachtal
8001261,Büttgen
8001262,Buggingen
8001264,Buir
8001266,Buldern
8001267,Bullay(DB)
8001268,Burbach(Kr Siegen)
8001271,Burg(Dillkr) Nord
8001273,Burg(Dithm)
8001274,Fehmarn-Burg
8001276,Burgau(Schwab)
8001277,Burgbernheim
8001278,Burgbernheim-Wildbad
8001279,Burgdorf
8001283,Burghaun(Hünfeld)
8001284,Burghausen(Oberbay)
8001285,Burgheim
8001287,Burgholzhausen v d H
8001288,Burgkirchen
8001289,Burgkunstadt
8001290,Burglauer
8001293,Burgsinn
8001296,Burgstall(Murr)
8001297,Burgthann
8001298,Regensburg-Burgweinting
8001301,Burhafe(Ostfriesl)
8001308,Düsseldorf-Eller Mitte
8001310,Buttenheim
8001312,Butzbach
8001315,Buxtehude
8001316,Cadenberge
8001317,Cadolzburg
8001318,Calberlah
8001319,Caldern
8001320,Calmbach Bahnhof
8001322,Bad Camberg
8001323,Capelle(Westf)
8001327,Castrop-Rauxel Hbf
8001328,Castrop-Rauxel Süd
8001329,Castrop-Rauxel-Merklinde
8001330,Cham(Oberpf)
8001331,Chamerau
8001334,Coburg Nord
8001335,Clarholz
8001337,Cloppenburg
8001338,Coburg
8001339,Coburg-Neuses
8001340,Cochem(Mosel)
8001341,Contwig
8001342,Coppenbrügge
8001343,Coesfeld Schulzentrum
8001347,Creidlitz
8001348,Creußen(Oberfr)
8001352,Cuxhaven
8001354,Dachau Bahnhof
8001355,Dachau Stadt
8001357,Dahl
8001358,Dahlbruch
8001359,Dahlem(Eifel)
8001360,Dahlenburg
8001362,Dahlerbrück
8001365,Dalheim
8001366,Dallau
8001372,Dannenberg Ost
8001373,Darching
8001375,Darmstadt Nord
8001376,Darmstadt Ost
8001377,Darmstadt Süd
8001378,Darmstadt-Arheilgen
8001379,Darmstadt-Eberstadt
8001380,Darmstadt-Kranichstein
8001382,Dasing
8001384,Dattenfeld(Sieg)
8001386,Darmstadt TU-Lichtwiese
8001387,Dauenhof
8001388,Daufenbach
8001389,Dausenau
8001390,Davensberg
8001392,Dedenhausen
8001393,Dedensen-Gümmer
8001394,Dedinghausen
8001397,Deggendorf Hbf
8001399,Deidesheim
8001400,Deining(Oberpf)
8001404,Deisenhofen
8001405,Deißlingen Mitte
8001406,Dellfeld
8001407,Dellfeld Ort
8001414,Densborn
8001415,Denzlingen
8001416,Derkum
8001417,Dernau
8001418,Dernbach(Westerw)
8001420,Detmold
8001421,Dettelbach Bahnhof
8001422,Dettingen Lehen
8001424,Dettingen Freibad
8001426,Dettingen Gsaidt
8001427,Dettingen(Main)
8001428,Dettingen(Teck)
8001429,Dettum
8001430,Deuerling
8001432,Deuten
8001435,Diebach
8001438,Hamburg Diebsteich
8001439,Diedorf(Schwab)
8001443,Diepholz
8001447,Dießen
8001450,Dietersheim
8001451,Toender(Gr)
8001454,Dietmannsried
8001455,Dietzenbach Mitte
8001456,Dietzenbach Bahnhof
8001457,Diez
8001458,Diez Ost
8001459,Dietzenbach-Steinberg
8001460,Dillbrecht
8001463,Dillingen(Donau)
8001465,Dingden
8001466,Dingolfing
8001468,Dinkelscherben
8001469,Dinslaken
8001470,Dirmingen
8001471,Dissen-Bad Rothenfelde
8001472,Distelhausen
8001474,Dittigheim
8001476,Ditzingen
8001479,Donaueschingen Allmendshofen
8001480,Döggingen
8001481,Döhlau
8001482,Donaueschingen Aufen
8001483,Donaueschingen Grüningen
8001484,Dörfles-Esbach
8001485,Donaueschingen Mitte/Siedlung
8001486,Dörpen
8001489,Dörverden
8001491,Dogern
8001492,Dollbergen
8001493,Dollern
8001495,Dollnstein
8001499,Dorfen Bahnhof
8001502,Dorfmark
8001503,Dorfprozelten
8001504,Dorheim(Wetterau)
8001505,Dortmund-Huckarde
8001506,Dormagen
8001507,Dormagen Bayerwerk
8001511,Groß Gerau-Dornheim
